tick,event,x,y
134342,mined,56.5,25.5
134360,mined,55.5,25.5
134378,mined,54.5,25.5
134393,mined,53.5,25.5
134456,mined,52.5,25.5
134472,mined,51.5,25.5
134525,mined,50.5,25.5
134540,mined,49.5,25.5
134558,mined,48.5,25.5
134577,mined,47.5,25.5
134595,mined,46.5,25.5
134613,mined,45.5,25.5
134631,mined,44.5,25.5
134649,mined,43.5,25.5
134668,mined,42.5,25.5
134683,build,70.5,27.5
134687,mined,41.5,25.5
134704,mined,40.5,25.5
134721,mined,39.5,25.5
134901,build,49.5,25.5
134906,build,48.5,25.5
134908,build,47.5,25.5
134910,build,46.5,25.5
134912,build,45.5,25.5
134914,build,44.5,25.5
134916,build,43.5,25.5
134919,build,42.5,25.5
134922,build,41.5,25.5
134925,build,40.5,25.5
134929,build,39.5,25.5
134932,build,38.5,25.5
134935,build,37.5,25.5
134938,build,36.5,25.5
134941,build,35.5,25.5
134945,build,34.5,25.5
134949,build,33.5,25.5
134952,build,32.5,25.5
134956,build,31.5,25.5
134958,build,30.5,25.5
134962,build,29.5,25.5
134966,build,28.5,25.5
134970,build,27.5,25.5
134974,build,26.5,25.5
134981,build,25.5,25.5
134988,build,24.5,25.5
134994,build,23.5,25.5
135093,build,68.5,29.5
135499,build,71.5,30.5
135504,build,70.5,30.5
135506,build,69.5,30.5
135512,build,68.5,30.5
135520,build,67.5,30.5
136329,build,82.5,17.5
136411,build,82.5,22.5
136623,mined,84.5,30.5
136623,build,84.5,30.5
136654,build,84.5,31.5
136688,build,83.5,31.5
136763,build,82.5,29.5
136806,mined,83.5,31.5
136806,build,83.5,31.5
136834,build,82.5,31.5
136866,mined,83.5,30.5
136886,build,28.5,21.5
136926,build,82.5,28.5
136930,build,82.5,27.5
136933,build,82.5,26.5
136936,build,82.5,25.5
136940,build,82.5,24.5
136947,build,82.5,23.5
137028,build,28.5,26.5
137522,mined,29.5,20.5
137522,build,29,20.5
137586,build,66.5,27.5
137868,build,65.5,27.5
